type_crue,crue_binaire,ts_maj,dest,type,mnemoligne,nomarret,idarret,idligne,harret,etat,nomligne
ALM,,2022-01-19T11:32:58+01:00,ANGERS GARES,CROSSWAY,"""39""",CHESNAIE PRUILLE,3168046,268435495,2022-01-19T11:29:27+01:00,HLPS,LA MEMBROLLE <> GARE
CENTENAIRE,,2022-01-19T11:30:54+01:00,SAINT AUBIN LA SALLE,GX 327,"""12""",MOULIN MARCILLE,3166808,268435468,2022-01-19T11:31:00+01:00,HLP,M-MARCILLE <> ST AUBIN LA SALLE
EXCEPTIONNELLE,,2022-01-19T11:30:54+01:00,SAINT AUBIN LA SALLE,GX 327,"""12""",MOULIN MARCILLE,3166808,268435468,2022-01-19T11:31:00+01:00,HLP,M-MARCILLE <> ST AUBIN LA SALLE
ALM,,2022-01-19T11:32:58+01:00,ESPACE ANJOU,OMNICITY,"""9""",MONPLAISIR,3167789,268435465,2022-01-19T11:29:28+01:00,LIGN,ESPACE ANJOU <> EVENTARD
ALM,,2022-01-19T11:32:58+01:00,ESPACE ANJOU,OMNICITY,"""9""",ANDRE LEROY,3166132,268435465,2022-01-19T11:29:35+01:00,LIGN,ESPACE ANJOU <> EVENTARD
EXCEPTIONNELLE,,2022-01-19T11:32:58+01:00,SCHWEITZER,OMNICITY,"""10""",BOURSE,3166241,268435466,2022-01-19T11:29:31+01:00,LIGN,ST LEZIN SORGES <> SCHWEITZER
ALM,,2022-01-19T11:32:58+01:00,BOUCHEMAINE CHANTOURTEAU,OMNICITY,"""6""",PETIT PORT,3166859,268435462,2022-01-19T11:30:08+01:00,LIGN,BOUCHEMAINE <> Z I  EST
ALM,,2022-01-19T11:32:58+01:00,BOUCHEMAINE CENTRE,OMNICITY,"""6""",CITE UNIVERSITAIRE,3166341,268435462,2022-01-19T11:29:31+01:00,LIGN,BOUCHEMAINE <> Z I  EST
ALM,,2022-01-19T11:32:58+01:00,POLE 49 par SCHWEITZER,GX 327,"""10""",GARES PAPIN,3166500,268435466,2022-01-19T11:29:28+01:00,LIGN,ST LEZIN SORGES <> SCHWEITZER
ALM,,2022-01-19T11:32:58+01:00,IUT BELLE-BEILLE,OMNIART,"""1""",MENDES FRANCE,3166757,268435457,2022-01-19T11:31:21+01:00,LIGN,BELLE BEILLE <> MONPLAISIR
ALM,,2022-01-19T11:32:58+01:00,TRELAZE QUANTINIERE,CITYART,"""2""",FOCH HARAS,3166553,268435458,2022-01-19T11:29:28+01:00,LIGN,ST SYLVAIN BANCHAIS <>TRELAZE
ALM,,2022-01-19T11:32:58+01:00,MONPLAISIR,CITYART,"""1""",CITE UNIVERSITAIRE,3166342,268435457,2022-01-19T11:30:28+01:00,LIGN,BELLE BEILLE <> MONPLAISIR
ALM,,2022-01-19T11:32:58+01:00,TRELAZE QUANTINIERE,City_GNV_A,"""2""",VICTOR HUGO,3167979,268435458,2022-01-19T11:29:29+01:00,LIGN,ST SYLVAIN BANCHAIS <>TRELAZE
ALM,,2022-01-19T11:32:58+01:00,TRELAZE QUANTINIERE,City_GNV_A,"""2""",VAL DE LOIRE,3167074,268435458,2022-01-19T11:29:20+01:00,LIGN,ST SYLVAIN BANCHAIS <>TRELAZE
ALM,,2022-01-19T11:32:58+01:00,CIRCULAIRE SENS B,CITYSTD,"""5""",JEAN XXIII,3166602,268435461,2022-01-19T11:30:04+01:00,LIGN,CIRCULAIRE VERNEAU GARE EUROPE
ALM,,2022-01-19T11:32:58+01:00,ANGERS ROSERAIE,CITADIS,"""A""",STRASBOURG,3166086,268435471,2022-01-19T11:30:14+01:00,LIGN,ARDENNE <> ROSERAIE
ALM,,2022-01-19T11:30:17+01:00,AVRILLE ARDENNE,CITADIS,"""A""",ANGERS - ROSERAIE,3166090,268435471,2022-01-19T11:32:00+01:00,TDEP,ARDENNE <> ROSERAIE
ALM,,2022-01-19T11:32:58+01:00,TRELAZE SAINT LEZIN,GX 327,"""10""",SAINT LEZIN,3167695,268435466,2022-01-19T11:29:51+01:00,LIGN,ST LEZIN SORGES <> SCHWEITZER
ALM,,2022-01-19T11:32:58+01:00,VERNUSSON par TRELAZE,GX 327,"""12""",JARDINS FAMILIAUX,3167636,268435468,2022-01-19T11:29:57+01:00,LIGN,M-MARCILLE <> ST AUBIN LA SALLE
ALM,,2022-01-19T11:32:58+01:00,BEAUCOUZE  HAUTE ROCHE,MAN City,"""4""",INRA,3166584,268435460,2022-01-19T11:29:44+01:00,LIGN,BEAUCOUZE <> ST BARTHELEMY
ALM,,2022-01-19T11:32:58+01:00,PAS EN SERVICE,MAN City,"""4""",SORTIE DEPOT ST BART,3166399,268435460,2022-01-19T11:29:26+01:00,LIGN,BEAUCOUZE <> ST BARTHELEMY
ALM,,2022-01-19T11:32:58+01:00,AVRILLE ADEZIERE,OMNIART,"""3""",ANDRE LEROY,3166121,268435459,2022-01-19T11:30:34+01:00,LIGN,MURS ERIGNE <> ADEZIERE SALETTE
ALM,,2022-01-19T11:32:58+01:00,SAINT BARTHELEMY,CITYART,"""4""",ROI DE POLOGNE,3167713,268435460,2022-01-19T11:30:11+01:00,LIGN,BEAUCOUZE <> ST BARTHELEMY
ALM,,2022-01-19T11:32:58+01:00,MONPLAISIR,CITYART,"""1""",NOZAY,3166819,268435457,2022-01-19T11:29:27+01:00,LIGN,BELLE BEILLE <> MONPLAISIR
ALM,,2022-01-19T11:32:58+01:00,MONPLAISIR,CITYART,"""1""",FOCH HARAS,3166552,268435457,2022-01-19T11:31:01+01:00,LIGN,BELLE BEILLE <> MONPLAISIR
ALM,,2022-01-19T11:32:58+01:00,SAINT SYLVAIN,City_GNV_A,"""2""",VAL DE LOIRE,3167075,268435458,2022-01-19T11:29:30+01:00,LIGN,ST SYLVAIN BANCHAIS <>TRELAZE
ALM,,2022-01-19T11:32:58+01:00,MONTREUIL JUIGNE,CITYSTD,"""7""",GIRARD,3167701,268435463,2022-01-19T11:29:44+01:00,LIGN,HOPITAL <> MONTREUIL JUIGNE
ALM,,2022-01-19T11:32:58+01:00,CIRCULAIRE SENS A,CITYSTD,"""5""",5A VERNEAU AQUAVITA,3167805,268435461,2022-01-19T11:29:57+01:00,DEVP,CIRCULAIRE VERNEAU GARE EUROPE
ALM,,2022-01-19T11:32:58+01:00,ZI EST,City_GNV_S,"""6""",CHAPELLE BELLEBEILLE,3166317,268435462,2022-01-19T11:30:14+01:00,LIGN,BOUCHEMAINE <> Z I  EST
ALM,,2022-01-19T11:32:58+01:00,AVRILLE ARDENNE,CITADIS,"""A""",HOTEL DE VILLE,3167965,268435471,2022-01-19T11:30:39+01:00,LIGN,ARDENNE <> ROSERAIE
ALM,,2022-01-19T11:32:58+01:00,AVRILLE ARDENNE,CITADIS,"""A""",CAPUCINS,3166096,268435471,2022-01-19T11:31:01+01:00,LIGN,ARDENNE <> ROSERAIE
ALM,,2022-01-19T11:27:38+01:00,L'HOIRIE LAC DE MAINE,OMNICITY,"""11""",L'HOIRIE,3167895,268435467,2022-01-19T11:24:03+01:00,TARR,LAC MAINE <> STE GEMMES CL ANJOU
ALM,,2022-01-19T11:31:19+01:00,MONPLAISIR,CITYART,"""1""",TERMINUS IUT,3168040,268435457,2022-01-19T11:39:00+01:00,TDEP,BELLE BEILLE <> MONPLAISIR
ALM,,2022-01-19T11:29:34+01:00,ANGERS ROSERAIE,CITADIS,"""A""",AVRILLE - ARDENNE,3166063,268435471,2022-01-19T11:32:40+01:00,TDEP,ARDENNE <> ROSERAIE
ALM,,2022-01-19T11:32:58+01:00,ZI EST,OMNICITY,"""6""",MONTAIGNE,3166783,268435462,2022-01-19T11:30:15+01:00,LIGN,BOUCHEMAINE <> Z I  EST
ALM,,2022-01-19T11:32:58+01:00,ZI EST,OMNICITY,"""6""",VAL DE MAINE,3167666,268435462,2022-01-19T11:29:38+01:00,LIGN,BOUCHEMAINE <> Z I  EST
ALM,,2022-01-19T11:32:58+01:00,LORRAINE,GX 327,"""7""",IRLANDE,3166592,268435463,2022-01-19T11:29:50+01:00,LIGN,HOPITAL <> MONTREUIL JUIGNE
CENTENAIRE,,2022-01-19T11:32:58+01:00,CHU HOPITAL,GX 327,"""8""",GIRARDEAU,3167625,268435464,2022-01-19T11:29:49+01:00,LIGN,PONTS DE CE <>  AQUAVITA HOPITAL
EXCEPTIONNELLE,,2022-01-19T11:32:58+01:00,CHU HOPITAL,GX 327,"""8""",GIRARDEAU,3167625,268435464,2022-01-19T11:29:49+01:00,LIGN,PONTS DE CE <>  AQUAVITA HOPITAL
ALM,,2022-01-19T11:32:58+01:00,BEAUCOUZE L'ATOLL,MAN City,"""4""",GARES PAPIN,3166499,268435460,2022-01-19T11:29:42+01:00,LIGN,BEAUCOUZE <> ST BARTHELEMY
ALM,,2022-01-19T11:32:58+01:00,AVRILLE ADEZIERE,MAN City,"""3""",CLINIQUE ST DIDIER,3166352,268435459,2022-01-19T11:29:31+01:00,LIGN,MURS ERIGNE <> ADEZIERE SALETTE
ALM,,2022-01-19T11:32:58+01:00,SAINT BARTHELEMY,MAN City,"""4""",MONTAIGNE,3166783,268435460,2022-01-19T11:29:37+01:00,DEVP,BEAUCOUZE <> ST BARTHELEMY
ALM,,2022-01-19T11:32:58+01:00,TRELAZE QUANTINIERE,City_GNV_A,"""2""",7 SONNETTES,3167003,268435458,2022-01-19T11:29:33+01:00,LIGN,ST SYLVAIN BANCHAIS <>TRELAZE
CENTENAIRE,,2022-01-19T11:32:58+01:00,BANCHAIS,City_GNV_A,"""2""",CIMETIERE DE TRELAZE,3166338,268435458,2022-01-19T11:29:31+01:00,LIGN,ST SYLVAIN BANCHAIS <>TRELAZE
EXCEPTIONNELLE,,2022-01-19T11:32:58+01:00,BANCHAIS,City_GNV_A,"""2""",CIMETIERE DE TRELAZE,3166338,268435458,2022-01-19T11:29:31+01:00,LIGN,ST SYLVAIN BANCHAIS <>TRELAZE
ALM,,2022-01-19T11:32:58+01:00,SAINT SYLVAIN,City_GNV_A,"""2""",MIRBEAU,3167529,268435458,2022-01-19T11:30:28+01:00,LIGN,ST SYLVAIN BANCHAIS <>TRELAZE
ALM,,2022-01-19T11:32:58+01:00,LORRAINE,CITYSTD,"""7""",MENDES FRANCE,3166757,268435463,2022-01-19T11:29:57+01:00,LIGN,HOPITAL <> MONTREUIL JUIGNE
ALM,,2022-01-19T11:32:58+01:00,MONTREUIL JUIGNE,CITYSTD,"""7""",AUGUSTE RENOIR,3167784,268435463,2022-01-19T11:30:16+01:00,LIGN,HOPITAL <> MONTREUIL JUIGNE
ALM,,2022-01-19T11:32:58+01:00,CIRCULAIRE SENS A,CITYSTD,"""5""",INTERMARCHE,3166587,268435461,2022-01-19T11:29:32+01:00,LIGN,CIRCULAIRE VERNEAU GARE EUROPE
ALM,,2022-01-19T11:32:58+01:00,ANGERS ROSERAIE,CITADIS,"""A""",CAPUCINS,3166070,268435471,2022-01-19T11:30:46+01:00,LIGN,ARDENNE <> ROSERAIE
ALM,,2022-01-19T11:32:58+01:00,AVRILLE ARDENNE,CITADIS,"""A""",STRASBOURG,3166112,268435471,2022-01-19T11:31:04+01:00,LIGN,ARDENNE <> ROSERAIE
ALM,,2022-01-19T11:32:58+01:00,ANGERS ROSERAIE,CITADIS,"""A""",FOCH MAISONBLEUE.,3166072,268435471,2022-01-19T11:30:10+01:00,LIGN,ARDENNE <> ROSERAIE
ALM,,2022-01-19T11:32:40+01:00,ECOUFLANT,CROSSWAY,"""42""",CHAUMIERES,3167159,268435498,2022-01-19T11:29:33+01:00,LIGN,ECOUFLANT GRIMORELLE <> GARE
CENTENAIRE,,2022-01-19T11:32:58+01:00,EVENTARD par MONPLAISIR,OMNICITY,"""9""",CARREFOUR ST SERGE,3166270,268435465,2022-01-19T11:29:52+01:00,LIGN,ESPACE ANJOU <> EVENTARD
EXCEPTIONNELLE,,2022-01-19T11:32:58+01:00,EVENTARD par MONPLAISIR,OMNICITY,"""9""",CARREFOUR ST SERGE,3166270,268435465,2022-01-19T11:29:52+01:00,LIGN,ESPACE ANJOU <> EVENTARD
ALM,,2022-01-19T11:32:58+01:00,BOUCHEMAINE HARENCHERES,OMNICITY,"""6""",ZI EST,3167107,268435462,2022-01-19T11:29:28+01:00,TDEP,BOUCHEMAINE <> Z I  EST
ALM,,2022-01-19T11:32:58+01:00,CLINIQUE DE L'ANJOU,OMNICITY,"""11""",OFFICE DE TOURISME,3166820,268435467,2022-01-19T11:29:46+01:00,LIGN,LAC MAINE <> STE GEMMES CL ANJOU
ALM,,2022-01-19T11:32:58+01:00,MOULIN MARCILLE,GX 327,"""8""",BARRA,3166182,268435464,2022-01-19T11:30:18+01:00,LIGN,PONTS DE CE <>  AQUAVITA HOPITAL
ALM,,2022-01-19T11:32:58+01:00,AQUAVITA VERNEAU,GX 327,"""8""",MONPROFIT,3166779,268435464,2022-01-19T11:29:32+01:00,LIGN,PONTS DE CE <>  AQUAVITA HOPITAL
ALM,,2022-01-19T11:32:58+01:00,TEST NOIR,MAN City,"""14""",DEPOT ST BARTH,3166398,268435470,2022-01-19T11:30:00+01:00,LIGN,BELLE BEILLE EXPRESS <> GARES
ALM,,2022-01-19T11:32:58+01:00,BEAUCOUZE L'ATOLL,MAN City,"""4""",ECHATS,3167550,268435460,2022-01-19T11:30:03+01:00,LIGN,BEAUCOUZE <> ST BARTHELEMY
ALM,,2022-01-19T11:32:58+01:00,BEAUCOUZE  HAUTE ROCHE,MAN City,"""4""",CHENE VERT,3166328,268435460,2022-01-19T11:29:55+01:00,LIGN,BEAUCOUZE <> ST BARTHELEMY
ALM,,2022-01-19T11:32:58+01:00,SAINT BARTHELEMY,MAN City,"""4""",RODIN,3166958,268435460,2022-01-19T11:29:45+01:00,LIGN,BEAUCOUZE <> ST BARTHELEMY
ALM,,2022-01-19T11:32:58+01:00,AVRILLE ADEZIERE,OMNIART,"""3""",SOLAND,3167008,268435459,2022-01-19T11:29:30+01:00,LIGN,MURS ERIGNE <> ADEZIERE SALETTE
ALM,,2022-01-19T11:32:58+01:00,BANCHAIS,OMNIART,"""2""",FOCH HARAS,3166552,268435458,2022-01-19T11:29:30+01:00,LIGN,ST SYLVAIN BANCHAIS <>TRELAZE
CENTENAIRE,,2022-01-19T11:32:58+01:00,MONPLAISIR,OMNIART,"""1""",BEAUREPAIRE,3166194,268435457,2022-01-19T11:29:39+01:00,LIGN,BELLE BEILLE <> MONPLAISIR
EXCEPTIONNELLE,,2022-01-19T11:32:58+01:00,MONPLAISIR,OMNIART,"""1""",BEAUREPAIRE,3166194,268435457,2022-01-19T11:29:39+01:00,LIGN,BELLE BEILLE <> MONPLAISIR
ALM,,2022-01-19T11:32:58+01:00,MURS ERIGNE,OMNIART,"""3""",MURS ERIGNE,3167899,268435459,2022-01-19T11:29:27+01:00,TARR,MURS ERIGNE <> ADEZIERE SALETTE
ALM,,2022-01-19T11:32:58+01:00,IUT BELLE-BEILLE,CITYART,"""1""",BREMONT CHATEAU,3166249,268435457,2022-01-19T11:29:45+01:00,LIGN,BELLE BEILLE <> MONPLAISIR
ALM,,2022-01-19T11:32:58+01:00,MONPLAISIR,CITYART,"""1""",LUTIN,3166713,268435457,2022-01-19T11:30:20+01:00,DEVP,BELLE BEILLE <> MONPLAISIR
ALM,,2022-01-19T11:32:58+01:00,SAINT BARTHELEMY,City_GNV_A,"""4""",JAUDETTE,3166598,268435460,2022-01-19T11:29:49+01:00,LIGN,BEAUCOUZE <> ST BARTHELEMY
ALM,,2022-01-19T11:32:58+01:00,CIRCULAIRE SENS A,CITYSTD,"""5""",VOLTAIRE,3167096,268435461,2022-01-19T11:29:24+01:00,DEVP,CIRCULAIRE VERNEAU GARE EUROPE
ALM,,2022-01-19T11:32:58+01:00,L'HOIRIE LAC DE MAINE,CITYSTD,"""11""",GRAND MAINE,3166514,268435467,2022-01-19T11:32:48+01:00,LIGN,LAC MAINE <> STE GEMMES CL ANJOU
ALM,,2022-01-19T11:32:58+01:00,L'HOIRIE LAC DE MAINE,CITYSTD,"""11""",LINNE,3166273,268435467,2022-01-19T11:29:36+01:00,LIGN,LAC MAINE <> STE GEMMES CL ANJOU
ALM,,2022-01-19T11:32:58+01:00,SAINT AUBIN LA SALLE,CITYSTD,"""12""",HUIT MAI LORRAINE,3166563,268435468,2022-01-19T11:29:30+01:00,LIGN,M-MARCILLE <> ST AUBIN LA SALLE
ALM,,2022-01-19T11:32:58+01:00,CIRCULAIRE SENS A,CITYSTD,"""5""",ACADEMIE,3167588,268435461,2022-01-19T11:30:02+01:00,LIGN,CIRCULAIRE VERNEAU GARE EUROPE
ALM,,2022-01-19T11:32:58+01:00,AVRILLE ARDENNE,CITADIS,"""A""",BOIS DU ROY,3166095,268435471,2022-01-19T11:30:38+01:00,LIGN,ARDENNE <> ROSERAIE
ALM,,2022-01-19T11:32:58+01:00,ANGERS ROSERAIE,CITADIS,"""A""",BOIS DU ROY,3166069,268435471,2022-01-19T11:30:36+01:00,LIGN,ARDENNE <> ROSERAIE
ALM,,2022-01-19T11:32:58+01:00,FENEU,CROSSWAY,"""33""",MONPROFIT,3166779,268435489,2022-01-19T11:29:21+01:00,LIGN,FENEU CANTENAY <> GARE
ALM,,2022-01-19T11:27:38+01:00,AVRILLE ADEZIERE,MAN City,"""3""",AVRILLE ADEZIERE,3167892,268435459,2022-01-19T11:23:56+01:00,TARR,MURS ERIGNE <> ADEZIERE SALETTE
ALM,,2022-01-19T11:32:58+01:00,EVENTARD par MONPLAISIR,OMNICITY,"""9""",ANDRE LEROY,3166133,268435465,2022-01-19T11:29:41+01:00,LIGN,ESPACE ANJOU <> EVENTARD
ALM,,2022-01-19T11:32:58+01:00,MOUL MARCILLE par TRELAZE,OMNICITY,"""12""",ANNE FRANCK,3166130,268435468,2022-01-19T11:30:10+01:00,LIGN,M-MARCILLE <> ST AUBIN LA SALLE
ALM,,2022-01-19T11:32:58+01:00,ZI TRELAZE par ST LEZIN,OMNICITY,"""10""",POIREL,3166885,268435466,2022-01-19T11:30:21+01:00,LIGN,ST LEZIN SORGES <> SCHWEITZER
ALM,,2022-01-19T11:32:58+01:00,SAINTE GEMMES,OMNICITY,"""11""",LOUPINOT,3166710,268435467,2022-01-19T11:29:58+01:00,LIGN,LAC MAINE <> STE GEMMES CL ANJOU
ALM,,2022-01-19T11:32:58+01:00,CIRCULAIRE SENS B,OMNICITY,"""5""",ESPACE ANJOU,3166446,268435461,2022-01-19T11:29:31+01:00,LIGN,CIRCULAIRE VERNEAU GARE EUROPE
ALM,,2022-01-19T11:32:58+01:00,SCHWEITZER,GX 327,"""10""",SCHWEITZER,3167902,268435466,2022-01-19T11:30:06+01:00,LIGN,ST LEZIN SORGES <> SCHWEITZER
ALM,,2022-01-19T11:32:58+01:00,MAIRIE DES PONTS DE CE,GX 327,"""8""",MARIANNE,3166739,268435464,2022-01-19T11:29:47+01:00,LIGN,PONTS DE CE <>  AQUAVITA HOPITAL
ALM,,2022-01-19T11:32:58+01:00,MURS ERIGNE,MAN City,"""3""",TRINITE,3167046,268435459,2022-01-19T11:29:42+01:00,LIGN,MURS ERIGNE <> ADEZIERE SALETTE
ALM,,2022-01-19T11:32:58+01:00,TRELAZE QUANTINIERE,MAN City,"""2""",GARE DE TRELAZE,3167687,268435458,2022-01-19T11:29:33+01:00,LIGN,ST SYLVAIN BANCHAIS <>TRELAZE
ALM,,2022-01-19T11:32:58+01:00,MURS ERIGNE,MAN City,"""3""",DE LATTRE,3166392,268435459,2022-01-19T11:30:37+01:00,LIGN,MURS ERIGNE <> ADEZIERE SALETTE
ALM,,2022-01-19T11:32:58+01:00,IUT BELLE-BEILLE,CITYART,"""1""",AUVERGNE,3166167,268435457,2022-01-19T11:29:29+01:00,LIGN,BELLE BEILLE <> MONPLAISIR
ALM,,2022-01-19T11:32:58+01:00,IUT BELLE-BEILLE,CITYART,"""1""",TRINITE,3167045,268435457,2022-01-19T11:29:32+01:00,LIGN,BELLE BEILLE <> MONPLAISIR
ALM,,2022-01-19T11:32:58+01:00,BEAUCOUZE L'ATOLL,City_GNV_A,"""4""",CEZANNE,3166294,268435460,2022-01-19T11:29:43+01:00,LIGN,BEAUCOUZE <> ST BARTHELEMY
ALM,,2022-01-19T11:32:58+01:00,BOUCHEMAINE CHANTOURTEAU,CITYSTD,"""6""",FOCH MAISON BLEUE,3166471,268435462,2022-01-19T11:31:16+01:00,LIGN,BOUCHEMAINE <> Z I  EST
ALM,,2022-01-19T11:32:58+01:00,CIRCULAIRE SENS B,CITYSTD,"""5""",AURIOL,3167905,268435461,2022-01-19T11:29:30+01:00,LIGN,CIRCULAIRE VERNEAU GARE EUROPE
ALM,,2022-01-19T11:32:58+01:00,ANGERS GARES,CROSSWAY,"""39""",CHESNAIE PRUILLE,3168046,268435495,2022-01-19T11:29:27+01:00,HLPS,LA MEMBROLLE <> GARE
